INCIDENT_ID,DATA_YEAR,STATE_ABBR,SUM_VICTIM_COUNT,latitude,longitude,STATE_NAME
28376,All,AK,219,63.588753,-154.493062,Alaska
28377,All,AR,1227,35.20105,-91.831833,Arkansas
28378,All,AZ,6044,34.048928,-111.093731,Arizona
28379,All,CA,30256,36.778261,-119.417932,California
28380,All,CO,3769,39.550051,-105.782067,Colorado
28381,All,CT,3374,41.603221,-73.087749,Connecticut
28382,All,DC,1881,38.905985,-77.033418,District of Columbia
28383,All,DE,709,38.910832,-75.52767,Delaware
28384,All,FL,3836,27.664827,-81.515754,Florida
28385,All,GA,1280,32.157435,-82.907123,Georgia
28386,All,IA,599,41.878003,-93.097702,Iowa
28387,All,ID,877,44.068202,-114.742041,Idaho
28388,All,IL,3402,40.633125,-89.398528,Illinois
28389,All,IN,2217,40.551217,-85.602364,Indiana
28390,All,KS,2039,39.011902,-98.484246,Kansas
28391,All,KY,3781,37.839333,-84.270018,Kentucky
28392,All,LA,632,31.244823,-92.145024,Louisiana
28393,All,MA,9223,42.407211,-71.382437,Massachusetts
28394,All,MD,2589,39.045755,-76.641271,Maryland
28395,All,ME,1196,45.253783,-69.445469,Maine
28396,All,MI,10820,44.314844,-85.602364,Michigan
28397,All,MN,3881,46.729553,-94.6859,Minnesota
28398,All,MO,2554,37.964253,-91.831833,Missouri
28399,All,MS,215,32.354668,-89.398528,Mississippi
28400,All,MT,723,46.879682,-110.362566,Montana
28401,All,NE,2166,41.492537,-99.901813,Nebraska
28402,All,NC,3539,35.759573,-79.0193,North Carolina
28403,All,ND,528,47.551493,-101.002012,North Dakota
28404,All,NH,767,43.193852,-71.572395,New Hampshire
28405,All,NJ,13135,40.058324,-74.405661,New Jersey
28406,All,NM,544,34.97273,-105.032363,New Mexico
28407,All,NV,1806,38.80261,-116.419389,Nevada
28408,All,NY,13036,43.299428,-74.217933,New York
28409,All,OH,8293,40.417287,-82.907123,Ohio
28410,All,OK,1063,35.007752,-97.092877,Oklahoma
28411,All,OR,3330,43.804133,-120.554201,Oregon
28412,All,PA,1823,41.203322,-77.194525,Pennsylvania
28413,All,RI,544,41.580095,-71.477429,Rhode Island
28414,All,SC,2118,33.836081,-81.163725,South Carolina
28415,All,SD,594,43.969515,-99.901813,South Dakota
28416,All,TN,4466,35.517491,-86.580447,Tennessee
28417,All,TX,6502,31.968599,-99.901813,Texas
28418,All,UT,1433,39.32098,-111.093731,Utah
28419,All,VA,5282,37.431573,-78.656894,Virginia
28420,All,VT,606,44.558803,-72.577841,Vermont
28421,All,WA,7642,47.751074,-120.740139,Washington
28422,All,WI,1555,43.78444,-88.787868,Wisconsin
28423,All,WV,983,38.597626,-80.454903,West Virginia
28424,All,WY,164,43.075968,-107.290284,Wyoming
28425,All,AL,261,32.318231,-86.902298,Alabama
28426,All,HI,138,19.898682,-155.665857,Hawaii
28427,2020,AK,12,63.588753,-154.493062,Alaska
28428,2020,AL,34,32.318231,-86.902298,Alabama
28429,2020,AR,59,35.20105,-91.831833,Arkansas
28430,2020,AZ,346,34.048928,-111.093731,Arizona
28431,2020,CA,1578,36.778261,-119.417932,California
28432,2020,CO,367,39.550051,-105.782067,Colorado
28433,2020,CT,129,41.603221,-73.087749,Connecticut
28434,2020,DC,152,38.905985,-77.033418,District of Columbia
28435,2020,DE,18,38.910832,-75.52767,Delaware
28436,2020,FL,119,27.664827,-81.515754,Florida
28437,2020,GA,311,32.157435,-82.907123,Georgia
28438,2020,HI,40,19.898682,-155.665857,Hawaii
28439,2020,IA,27,41.878003,-93.097702,Iowa
28440,2020,ID,59,44.068202,-114.742041,Idaho
28441,2020,IL,81,40.633125,-89.398528,Illinois
28442,2020,IN,238,40.551217,-85.602364,Indiana
28443,2020,KS,161,39.011902,-98.484246,Kansas
28444,2020,KY,234,37.839333,-84.270018,Kentucky
28445,2020,LA,77,31.244823,-92.145024,Louisiana
28446,2020,MA,477,42.407211,-71.382437,Massachusetts
28447,2020,MD,47,39.045755,-76.641271,Maryland
28448,2020,ME,96,45.253783,-69.445469,Maine
28449,2020,MI,513,44.314844,-85.602364,Michigan
28450,2020,MN,240,46.729553,-94.6859,Minnesota
28451,2020,MO,187,37.964253,-91.831833,Missouri
28452,2020,MS,37,32.354668,-89.398528,Mississippi
28453,2020,MT,30,46.879682,-110.362566,Montana
28454,2020,NE,1121,41.492537,-99.901813,Nebraska
28455,2020,NC,436,35.759573,-79.0193,North Carolina
28456,2020,ND,31,47.551493,-101.002012,North Dakota
28457,2020,NH,36,43.193852,-71.572395,New Hampshire
28458,2020,NJ,1428,40.058324,-74.405661,New Jersey
28459,2020,NM,91,34.97273,-105.032363,New Mexico
28460,2020,NV,201,38.80261,-116.419389,Nevada
28461,2020,NY,470,43.299428,-74.217933,New York
28462,2020,OH,670,40.417287,-82.907123,Ohio
28463,2020,OK,79,35.007752,-97.092877,Oklahoma
28464,2020,OR,345,43.804133,-120.554201,Oregon
28465,2020,PA,102,41.203322,-77.194525,Pennsylvania
28466,2020,RI,16,41.580095,-71.477429,Rhode Island
28467,2020,SC,148,33.836081,-81.163725,South Carolina
28468,2020,SD,19,43.969515,-99.901813,South Dakota
28469,2020,TN,158,35.517491,-86.580447,Tennessee
28470,2020,TX,640,31.968599,-99.901813,Texas
28471,2020,UT,61,39.32098,-111.093731,Utah
28472,2020,VA,217,37.431573,-78.656894,Virginia
28473,2020,VT,84,44.558803,-72.577841,Vermont
28474,2020,WA,543,47.751074,-120.740139,Washington
28475,2020,WI,181,43.78444,-88.787868,Wisconsin
28476,2020,WV,91,38.597626,-80.454903,West Virginia
28477,2020,WY,21,43.075968,-107.290284,Wyoming
28478,2019,AK,17,63.588753,-154.493062,Alaska
28479,2019,AL,1,32.318231,-86.902298,Alabama
28480,2019,AR,17,35.20105,-91.831833,Arkansas
28481,2019,AZ,255,34.048928,-111.093731,Arizona
28482,2019,CA,1261,36.778261,-119.417932,California
28483,2019,CO,292,39.550051,-105.782067,Colorado
28484,2019,CT,92,41.603221,-73.087749,Connecticut
28485,2019,DC,251,38.905985,-77.033418,District of Columbia
28486,2019,DE,27,38.910832,-75.52767,Delaware
28487,2019,FL,136,27.664827,-81.515754,Florida
28488,2019,GA,174,32.157435,-82.907123,Georgia
28489,2019,HI,51,19.898682,-155.665857,Hawaii
28490,2019,IA,12,41.878003,-93.097702,Iowa
28491,2019,ID,40,44.068202,-114.742041,Idaho
28492,2019,IL,100,40.633125,-89.398528,Illinois
28493,2019,IN,107,40.551217,-85.602364,Indiana
28494,2019,KS,102,39.011902,-98.484246,Kansas
28495,2019,KY,181,37.839333,-84.270018,Kentucky
28496,2019,LA,34,31.244823,-92.145024,Louisiana
28497,2019,MA,438,42.407211,-71.382437,Massachusetts
28498,2019,MD,19,39.045755,-76.641271,Maryland
28499,2019,ME,25,45.253783,-69.445469,Maine
28500,2019,MI,476,44.314844,-85.602364,Michigan
28501,2019,MN,190,46.729553,-94.6859,Minnesota
28502,2019,MO,114,37.964253,-91.831833,Missouri
28503,2019,MS,21,32.354668,-89.398528,Mississippi
28504,2019,MT,44,46.879682,-110.362566,Montana
28505,2019,NE,53,41.492537,-99.901813,Nebraska
28506,2019,NC,335,35.759573,-79.0193,North Carolina
28507,2019,ND,22,47.551493,-101.002012,North Dakota
28508,2019,NH,18,43.193852,-71.572395,New Hampshire
28509,2019,NJ,1007,40.058324,-74.405661,New Jersey
28510,2019,NM,68,34.97273,-105.032363,New Mexico
28511,2019,NV,57,38.80261,-116.419389,Nevada
28512,2019,NY,627,43.299428,-74.217933,New York
28513,2019,OH,394,40.417287,-82.907123,Ohio
28514,2019,OK,34,35.007752,-97.092877,Oklahoma
28515,2019,OR,222,43.804133,-120.554201,Oregon
28516,2019,PA,55,41.203322,-77.194525,Pennsylvania
28517,2019,RI,21,41.580095,-71.477429,Rhode Island
28518,2019,SC,74,33.836081,-81.163725,South Carolina
28519,2019,SD,24,43.969515,-99.901813,South Dakota
28520,2019,TN,151,35.517491,-86.580447,Tennessee
28521,2019,TX,522,31.968599,-99.901813,Texas
28522,2019,UT,52,39.32098,-111.093731,Utah
28523,2019,VA,194,37.431573,-78.656894,Virginia
28524,2019,VT,38,44.558803,-72.577841,Vermont
28525,2019,WA,644,47.751074,-120.740139,Washington
28526,2019,WI,57,43.78444,-88.787868,Wisconsin
28527,2019,WV,60,38.597626,-80.454903,West Virginia
28528,2019,WY,6,43.075968,-107.290284,Wyoming
28529,2018,AK,6,63.588753,-154.493062,Alaska
28530,2018,AR,24,35.20105,-91.831833,Arkansas
28531,2018,AZ,222,34.048928,-111.093731,Arizona
28532,2018,CA,1267,36.778261,-119.417932,California
28533,2018,CO,143,39.550051,-105.782067,Colorado
28534,2018,CT,119,41.603221,-73.087749,Connecticut
28535,2018,DC,237,38.905985,-77.033418,District of Columbia
28536,2018,DE,25,38.910832,-75.52767,Delaware
28537,2018,FL,168,27.664827,-81.515754,Florida
28538,2018,GA,43,32.157435,-82.907123,Georgia
28539,2018,HI,47,19.898682,-155.665857,Hawaii
28540,2018,IA,22,41.878003,-93.097702,Iowa
28541,2018,ID,28,44.068202,-114.742041,Idaho
28542,2018,IL,147,40.633125,-89.398528,Illinois
28543,2018,IN,233,40.551217,-85.602364,Indiana
28544,2018,KS,101,39.011902,-98.484246,Kansas
28545,2018,KY,302,37.839333,-84.270018,Kentucky
28546,2018,LA,60,31.244823,-92.145024,Louisiana
28547,2018,MA,430,42.407211,-71.382437,Massachusetts
28548,2018,MD,54,39.045755,-76.641271,Maryland
28549,2018,ME,22,45.253783,-69.445469,Maine
28550,2018,MI,518,44.314844,-85.602364,Michigan
28551,2018,MN,164,46.729553,-94.6859,Minnesota
28552,2018,MO,88,37.964253,-91.831833,Missouri
28553,2018,MS,11,32.354668,-89.398528,Mississippi
28554,2018,MT,12,46.879682,-110.362566,Montana
28555,2018,NE,44,41.492537,-99.901813,Nebraska
28556,2018,NC,218,35.759573,-79.0193,North Carolina
28557,2018,ND,12,47.551493,-101.002012,North Dakota
28558,2018,NH,19,43.193852,-71.572395,New Hampshire
28559,2018,NJ,559,40.058324,-74.405661,New Jersey
28560,2018,NM,58,34.97273,-105.032363,New Mexico
28561,2018,NV,46,38.80261,-116.419389,Nevada
28562,2018,NY,531,43.299428,-74.217933,New York
28563,2018,OH,418,40.417287,-82.907123,Ohio
28564,2018,OK,39,35.007752,-97.092877,Oklahoma
28565,2018,OR,182,43.804133,-120.554201,Oregon
28566,2018,PA,78,41.203322,-77.194525,Pennsylvania
28567,2018,RI,16,41.580095,-71.477429,Rhode Island
28568,2018,SC,75,33.836081,-81.163725,South Carolina
28569,2018,SD,27,43.969515,-99.901813,South Dakota
28570,2018,TN,194,35.517491,-86.580447,Tennessee
28571,2018,TX,465,31.968599,-99.901813,Texas
28572,2018,UT,57,39.32098,-111.093731,Utah
28573,2018,VA,193,37.431573,-78.656894,Virginia
28574,2018,VT,47,44.558803,-72.577841,Vermont
28575,2018,WA,716,47.751074,-120.740139,Washington
28576,2018,WI,55,43.78444,-88.787868,Wisconsin
28577,2018,WV,95,38.597626,-80.454903,West Virginia
28578,2017,AK,4,63.588753,-154.493062,Alaska
28579,2017,AL,14,32.318231,-86.902298,Alabama
28580,2017,AR,27,35.20105,-91.831833,Arkansas
28581,2017,AZ,357,34.048928,-111.093731,Arizona
28582,2017,CA,1316,36.778261,-119.417932,California
28583,2017,CO,105,39.550051,-105.782067,Colorado
28584,2017,CT,125,41.603221,-73.087749,Connecticut
28585,2017,DC,209,38.905985,-77.033418,District of Columbia
28586,2017,DE,31,38.910832,-75.52767,Delaware
28587,2017,FL,172,27.664827,-81.515754,Florida
28588,2017,GA,231,32.157435,-82.907123,Georgia
28589,2017,IA,11,41.878003,-93.097702,Iowa
28590,2017,ID,50,44.068202,-114.742041,Idaho
28591,2017,IL,104,40.633125,-89.398528,Illinois
28592,2017,IN,121,40.551217,-85.602364,Indiana
28593,2017,KS,88,39.011902,-98.484246,Kansas
28594,2017,KY,486,37.839333,-84.270018,Kentucky
28595,2017,LA,53,31.244823,-92.145024,Louisiana
28596,2017,MA,517,42.407211,-71.382437,Massachusetts
28597,2017,MD,115,39.045755,-76.641271,Maryland
28598,2017,ME,43,45.253783,-69.445469,Maine
28599,2017,MI,523,44.314844,-85.602364,Michigan
28600,2017,MN,184,46.729553,-94.6859,Minnesota
28601,2017,MO,143,37.964253,-91.831833,Missouri
28602,2017,MS,65,32.354668,-89.398528,Mississippi
28603,2017,MT,25,46.879682,-110.362566,Montana
28604,2017,NE,41,41.492537,-99.901813,Nebraska
28605,2017,NC,238,35.759573,-79.0193,North Carolina
28606,2017,ND,17,47.551493,-101.002012,North Dakota
28607,2017,NH,20,43.193852,-71.572395,New Hampshire
28608,2017,NJ,511,40.058324,-74.405661,New Jersey
28609,2017,NM,14,34.97273,-105.032363,New Mexico
28610,2017,NV,7,38.80261,-116.419389,Nevada
28611,2017,NY,571,43.299428,-74.217933,New York
28612,2017,OH,462,40.417287,-82.907123,Ohio
28613,2017,OK,37,35.007752,-97.092877,Oklahoma
28614,2017,OR,186,43.804133,-120.554201,Oregon
28615,2017,PA,95,41.203322,-77.194525,Pennsylvania
28616,2017,RI,12,41.580095,-71.477429,Rhode Island
28617,2017,SC,95,33.836081,-81.163725,South Carolina
28618,2017,SD,16,43.969515,-99.901813,South Dakota
28619,2017,TN,214,35.517491,-86.580447,Tennessee
28620,2017,TX,223,31.968599,-99.901813,Texas
28621,2017,UT,61,39.32098,-111.093731,Utah
28622,2017,VA,256,37.431573,-78.656894,Virginia
28623,2017,VT,36,44.558803,-72.577841,Vermont
28624,2017,WA,648,47.751074,-120.740139,Washington
28625,2017,WI,49,43.78444,-88.787868,Wisconsin
28626,2017,WV,44,38.597626,-80.454903,West Virginia
28627,2017,WY,23,43.075968,-107.290284,Wyoming
28628,2016,AK,13,63.588753,-154.493062,Alaska
28629,2016,AL,17,32.318231,-86.902298,Alabama
28630,2016,AR,15,35.20105,-91.831833,Arkansas
28631,2016,AZ,304,34.048928,-111.093731,Arizona
28632,2016,CA,1190,36.778261,-119.417932,California
28633,2016,CO,143,39.550051,-105.782067,Colorado
28634,2016,CT,137,41.603221,-73.087749,Connecticut
28635,2016,DC,129,38.905985,-77.033418,District of Columbia
28636,2016,DE,19,38.910832,-75.52767,Delaware
28637,2016,FL,130,27.664827,-81.515754,Florida
28638,2016,GA,46,32.157435,-82.907123,Georgia
28639,2016,IA,23,41.878003,-93.097702,Iowa
28640,2016,ID,35,44.068202,-114.742041,Idaho
28641,2016,IL,124,40.633125,-89.398528,Illinois
28642,2016,IN,169,40.551217,-85.602364,Indiana
28643,2016,KS,77,39.011902,-98.484246,Kansas
28644,2016,KY,276,37.839333,-84.270018,Kentucky
28645,2016,LA,33,31.244823,-92.145024,Louisiana
28646,2016,MA,473,42.407211,-71.382437,Massachusetts
28647,2016,MD,43,39.045755,-76.641271,Maryland
28648,2016,ME,47,45.253783,-69.445469,Maine
28649,2016,MI,491,44.314844,-85.602364,Michigan
28650,2016,MN,172,46.729553,-94.6859,Minnesota
28651,2016,MO,128,37.964253,-91.831833,Missouri
28652,2016,MS,27,32.354668,-89.398528,Mississippi
28653,2016,MT,22,46.879682,-110.362566,Montana
28654,2016,NE,35,41.492537,-99.901813,Nebraska
28655,2016,NC,216,35.759573,-79.0193,North Carolina
28656,2016,ND,15,47.551493,-101.002012,North Dakota
28657,2016,NH,43,43.193852,-71.572395,New Hampshire
28658,2016,NJ,309,40.058324,-74.405661,New Jersey
28659,2016,NM,39,34.97273,-105.032363,New Mexico
28660,2016,NV,54,38.80261,-116.419389,Nevada
28661,2016,NY,603,43.299428,-74.217933,New York
28662,2016,OH,560,40.417287,-82.907123,Ohio
28663,2016,OK,37,35.007752,-97.092877,Oklahoma
28664,2016,OR,131,43.804133,-120.554201,Oregon
28665,2016,PA,82,41.203322,-77.194525,Pennsylvania
28666,2016,RI,14,41.580095,-71.477429,Rhode Island
28667,2016,SC,31,33.836081,-81.163725,South Carolina
28668,2016,SD,21,43.969515,-99.901813,South Dakota
28669,2016,TN,201,35.517491,-86.580447,Tennessee
28670,2016,TX,228,31.968599,-99.901813,Texas
28671,2016,UT,74,39.32098,-111.093731,Utah
28672,2016,VA,163,37.431573,-78.656894,Virginia
28673,2016,VT,26,44.558803,-72.577841,Vermont
28674,2016,WA,524,47.751074,-120.740139,Washington
28675,2016,WI,49,43.78444,-88.787868,Wisconsin
28676,2016,WV,50,38.597626,-80.454903,West Virginia
28677,2016,WY,4,43.075968,-107.290284,Wyoming
28678,2015,AK,20,63.588753,-154.493062,Alaska
28679,2015,AL,12,32.318231,-86.902298,Alabama
28680,2015,AR,9,35.20105,-91.831833,Arkansas
28681,2015,AZ,357,34.048928,-111.093731,Arizona
28682,2015,CA,1057,36.778261,-119.417932,California
28683,2015,CO,146,39.550051,-105.782067,Colorado
28684,2015,CT,109,41.603221,-73.087749,Connecticut
28685,2015,DC,79,38.905985,-77.033418,District of Columbia
28686,2015,DE,11,38.910832,-75.52767,Delaware
28687,2015,FL,90,27.664827,-81.515754,Florida
28688,2015,GA,49,32.157435,-82.907123,Georgia
28689,2015,IA,6,41.878003,-93.097702,Iowa
28690,2015,ID,49,44.068202,-114.742041,Idaho
28691,2015,IL,104,40.633125,-89.398528,Illinois
28692,2015,IN,79,40.551217,-85.602364,Indiana
28693,2015,KS,81,39.011902,-98.484246,Kansas
28694,2015,KY,225,37.839333,-84.270018,Kentucky
28695,2015,LA,48,31.244823,-92.145024,Louisiana
28696,2015,MA,510,42.407211,-71.382437,Massachusetts
28697,2015,MD,44,39.045755,-76.641271,Maryland
28698,2015,ME,47,45.253783,-69.445469,Maine
28699,2015,MI,385,44.314844,-85.602364,Michigan
28700,2015,MN,140,46.729553,-94.6859,Minnesota
28701,2015,MO,146,37.964253,-91.831833,Missouri
28702,2015,MT,54,46.879682,-110.362566,Montana
28703,2015,NE,19,41.492537,-99.901813,Nebraska
28704,2015,NC,222,35.759573,-79.0193,North Carolina
28705,2015,ND,55,47.551493,-101.002012,North Dakota
28706,2015,NH,15,43.193852,-71.572395,New Hampshire
28707,2015,NJ,349,40.058324,-74.405661,New Jersey
28708,2015,NM,14,34.97273,-105.032363,New Mexico
28709,2015,NV,74,38.80261,-116.419389,Nevada
28710,2015,NY,519,43.299428,-74.217933,New York
28711,2015,OH,482,40.417287,-82.907123,Ohio
28712,2015,OK,55,35.007752,-97.092877,Oklahoma
28713,2015,OR,102,43.804133,-120.554201,Oregon
28714,2015,PA,70,41.203322,-77.194525,Pennsylvania
28715,2015,RI,19,41.580095,-71.477429,Rhode Island
28716,2015,SC,74,33.836081,-81.163725,South Carolina
28717,2015,SD,22,43.969515,-99.901813,South Dakota
28718,2015,TN,307,35.517491,-86.580447,Tennessee
28719,2015,TX,223,31.968599,-99.901813,Texas
28720,2015,UT,61,39.32098,-111.093731,Utah
28721,2015,VA,195,37.431573,-78.656894,Virginia
